team,seed,score
Auburn,1,35.04
Alabama St,16,-10.00
Louisville,8,22.48
Creighton,9,18.66
Michigan,5,22.27
UC San Diego,12,18.81
Texas A&M,4,24.06
Yale,13,11.02
Mississippi,6,22.07
North Carolina,11,19.38
Iowa St.,3,26.97
Lipscomb,14,9.52
Marquette,7,21.53
New Mexico,10,17.31
Michigan St.,2,27.57
Bryant,15,1.17
Florida,1,36.12
Norfolk St.,16,-9.25
Connecticut,8,19.28
Oklahoma,9,18.30
Memphis,5,15.36
Colorado St.,12,17.28
Maryland,4,26.32
Grand Canyon,13,7.25
Missouri,6,24.42
Drake,11,14.15
Texas Tech,3,28.02
UNC Wilmington,14,5.15
Kansas,7,23.23
Arkansas,10,17.70
St. John's,2,26.32
Nebraska Omaha,15,0.54
Duke,1,37.96
American,16,-6.06
Mississippi St.,8,20.08
Baylor,9,21.13
Oregon,5,20.14
Liberty,12,13.79
Arizona,4,25.70
Akron,13,6.86
BYU,6,22.36
VCU,11,20.35
Wisconsin,3,25.96
Montana,14,4.59
Saint Mary's,7,23.11
Vanderbilt,10,16.13
Alabama,2,29.93
Robert Morris,15,2.14
Houston,1,35.42
SIUE,16,-4.27
Gonzaga,8,27.28
Georgia,9,19.33
Clemson,5,23.72
McNeese,12,13.72
Purdue,4,23.83
High Point,13,9.30
Illinois,6,23.54
Xavier,11,17.15
Kentucky,3,24.23
Troy,14,6.98
UCLA,7,21.74
Utah St.,10,15.19
Tennessee,2,31.11
Wofford,15,4.25